TEXTURE PATH,L,T,W,H
graphics/Boss/Bomb.png,0,0,121,140
graphics/Boss/Walk1(Front).png,121,0,121,140
graphics/Boss/Walk1(Front).png,242,0,121,140
graphics/Boss/Walk1(Front).png,363,0,121,140
graphics/Boss/Walk1(Front).png,484,0,121,140
graphics/Boss/Walk1(Front).png,605,0,121,140
graphics/Boss/Walk1(Front).png,726,0,121,140
graphics/Boss/Walk1(Front).png,847,0,121,140
graphics/Boss/Walk1(Front).png,968,0,121,140
graphics/Boss/Walk1(Front).png,1089,0,121,140
graphics/Boss/Walk1(Front).png,1210,0,121,140
graphics/Boss/Walk1(Front).png,1331,0,121,140
graphics/Boss/Walk1(Front).png,0,140,121,140
graphics/Boss/Walk1(Front).png,121,140,121,140
graphics/Boss/Walk1(Front).png,242,140,121,140
graphics/Boss/Walk1(Front).png,363,140,121,140
graphics/Boss/Walk1(Front).png,484,140,121,140
graphics/Boss/Walk1(Front).png,605,140,121,140
graphics/Boss/Walk1(Front).png,726,140,121,140
graphics/Boss/Walk1(Front).png,847,140,121,140
graphics/Boss/Walk1(Front).png,968,140,121,140
graphics/Boss/Walk1(Front).png,1089,140,121,140
graphics/Boss/Walk1(Front).png,1210,140,121,140
graphics/Boss/Walk1(Front).png,1331,140,121,140
graphics/Boss/Walk1(Front).png,0,280,121,140
graphics/Boss/Walk1(Front).png,121,280,121,140
graphics/Boss/Walk1(Front).png,242,280,121,140
graphics/Boss/Walk1(Front).png,363,280,121,140
graphics/Boss/Walk1(Front).png,484,280,121,140
graphics/Boss/Walk1(Front).png,605,280,121,140
graphics/Boss/Walk1(Front).png,726,280,121,140
graphics/Boss/Walk1(Front).png,847,280,121,140
graphics/Boss/Walk1(Front).png,968,280,121,140
graphics/Boss/Walk1(Front).png,1089,280,121,140
graphics/Boss/Walk1(Front).png,1210,280,121,140
graphics/Boss/Walk1(Front).png,1331,280,121,140
