TEXTURE PATH,L,T,W,H
graphics/Boss/FireBall(right).png,0,0,100,57
graphics/Boss/FireBall(right).png,100,0,100,57
graphics/Boss/FireBall(right).png,200,0,100,57
graphics/Boss/FireBall(right).png,300,0,100,57
graphics/Boss/FireBall(right).png,400,0,100,57
graphics/Boss/FireBall(right).png,500,0,100,57
graphics/Boss/FireBall(right).png,600,0,100,57
graphics/Boss/FireBall(right).png,700,0,100,57
graphics/Boss/FireBall(right).png,800,0,100,57
graphics/Boss/FireBall(right).png,900,0,100,57
graphics/Boss/FireBall(right).png,1000,0,100,57
graphics/Boss/FireBall(right).png,1100,0,100,57
