TEXTURE PATH,L,T,W,H
graphics/PlayerSkill/soulBurn.png,0,0,100,100
graphics/PlayerSkill/soulBurn.png,100,0,100,100
graphics/PlayerSkill/soulBurn.png,200,0,100,100
graphics/PlayerSkill/soulBurn.png,300,0,100,100
graphics/PlayerSkill/soulBurn.png,400,0,100,100
graphics/PlayerSkill/soulBurn.png,0,100,100,100
graphics/PlayerSkill/soulBurn.png,100,100,100,100
graphics/PlayerSkill/soulBurn.png,200,100,100,100
graphics/PlayerSkill/soulBurn.png,300,100,100,100
graphics/PlayerSkill/soulBurn.png,400,100,100,100
graphics/PlayerSkill/soulBurn.png,0,200,100,100
graphics/PlayerSkill/soulBurn.png,100,200,100,100
graphics/PlayerSkill/soulBurn.png,200,200,100,100
graphics/PlayerSkill/soulBurn.png,300,200,100,100
graphics/PlayerSkill/soulBurn.png,400,200,100,100
graphics/PlayerSkill/soulBurn.png,0,300,100,100
graphics/PlayerSkill/soulBurn.png,100,300,100,100
graphics/PlayerSkill/soulBurn.png,200,300,100,100
graphics/PlayerSkill/soulBurn.png,300,300,100,100
graphics/PlayerSkill/soulBurn.png,400,300,100,100
graphics/PlayerSkill/soulBurn.png,0,400,100,100
graphics/PlayerSkill/soulBurn.png,100,400,100,100
graphics/PlayerSkill/soulBurn.png,200,400,100,100
graphics/PlayerSkill/soulBurn.png,300,400,100,100
graphics/PlayerSkill/soulBurn.png,400,400,100,100
