TEXTURE PATH,L,T,W,H
graphics/PlayerSkill/skul_Change_effect.png,0,0,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,0,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,0,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,289,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,289,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,289,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,578,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,578,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,578,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,867,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,867,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,867,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,1156,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,1156,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,1156,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,1445,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,1445,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,1445,534,289
graphics/PlayerSkill/skul_Change_effect.png,0,1734,534,289
graphics/PlayerSkill/skul_Change_effect.png,534,1734,534,289
graphics/PlayerSkill/skul_Change_effect.png,1068,1734,534,289
